ID	Evidences length	Evidences list	Complete evidences
P0AGK3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGM1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGN1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0C0L8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0C0S2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58164	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58219	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58325	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58344	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58529	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58720	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P60777	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P60871	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P60873	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P62397	1	TM	TM
P62671	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P62724	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P63342	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P63861	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P64425	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P64431	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P64434	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P64513	1	TM	TM
P64552	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P64583	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P64598	1	TM	TM
P64605	1	TM	TM
P64608	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P64648	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P65254	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67129	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67144	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67155	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67446	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67730	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P68185	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69424	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69426	1	TM	TM
P69433	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P69832	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q46716	1	SL	SL
Q7A937	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7AA80	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7ACM1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7ADY8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7AFA1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7AHS5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7BSV4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7BSV9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7DI68	1	SL	SL
Q8X2V8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X3J5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X3T0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X400	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X479	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X490	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X492	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X4L7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4M4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4N4	1	TM	TM
Q8X4N7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4N9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4P0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4Q7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4S4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4V6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4Z4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X504	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X534	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X543	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X564	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X578	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X5A0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5A2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5A3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X5D8	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8X5I3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5K7	1	TM	TM
Q8X5M2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5N1	1	TM	TM
Q8X5Q3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5Q8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5R2	1	TM	TM
Q8X5R8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5S1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5S3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X5S5	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
Q8X5T7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5X8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5Z7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X616	1	TM	TM
Q8X617	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X624	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X625	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X638	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X641	1	TM	TM
Q8X651	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X653	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X657	1	TM	TM
Q8X691	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6D6	1	TM	TM
Q8X6I6	1	TM	TM
Q8X6K6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6P2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6P4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6P5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X6P7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6Q3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6R6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6U1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6V6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6V7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6Z1	1	TM	TM
Q8X6Z6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X731	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X772	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X774	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X781	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X789	1	TM	TM
Q8X791	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X794	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7A5	1	TM	TM
Q8X7A6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7C8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X7E2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7H0	1	TM	TM
Q8X7I2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X7I3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7J4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7J8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8X7U9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X7W7	1	TM	TM
Q8X7Y9	1	TM	TM
Q8X800	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X845	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X878	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X8H7	1	TM	TM
Q8X8J1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X8K9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X8S6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X8V1	1	TM	TM
Q8X8Z5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X905	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X912	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X916	1	PHOBIUS_TM	PHOBIUS_TM
Q8X979	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9B1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9D1	1	TM	TM
Q8X9E0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9E5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X9E6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9F8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9G0	1	TM	TM
Q8X9G1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9G5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9G8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9I3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9I6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9S3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9V5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9W4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9Y3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9Y5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XA05	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XA19	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XA30	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XA33	1	TM	TM
Q8XA43	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XA63	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XA81	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XA88	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAF6	1	PHOBIUS_TM	PHOBIUS_TM
Q8XAI6	1	TM	TM
Q8XAJ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAM5	1	SL	SL
Q8XAQ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAR0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAR4	1	PHOBIUS_TM	PHOBIUS_TM
Q8XAR5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAS3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XAT3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAW9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAX0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XAY0	1	PHOBIUS_TM	PHOBIUS_TM
Q8XAY8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAZ3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB03	1	TM	TM
Q8XB24	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB33	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB84	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB94	1	TM	TM
Q8XBA1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBA2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XBB0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBC5	1	PHOBIUS_TM	PHOBIUS_TM
Q8XBC8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XBJ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBK4	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8XBL7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBP8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBS0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBS5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XBW9	1	TM	TM
Q8XBX0	1	TM	TM
Q8XBX4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBY1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XC28	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XC31	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XC49	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCB7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCD4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCF7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCG9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCJ0	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8XCJ1	1	TM	TM
Q8XCK9	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8XCP1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCP5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XCQ9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XCR4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XCS7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCU2	1	TM	TM
Q8XCY3	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8XD10	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XD11	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XD20	1	TM	TM
Q8XD43	1	PHOBIUS_TM	PHOBIUS_TM
Q8XD54	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XD55	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDC5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDC9	1	TM	TM
Q8XDD1	1	TM	TM
Q8XDG7	1	SL	SL
Q8XDJ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDM7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDP6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDQ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDS6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDU5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDW5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XDZ8	1	TM	TM
Q8XE49	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE55	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XE64	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE86	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE99	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XEB2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XEB7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XED4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XED5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XEH9	1	TM	TM
Q8XEI0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JBT0	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JC36	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JC46	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JC92	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JCC2	1	TM	TM
A0A0H3JCC8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JCN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H3JCQ0	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JCR5	1	TM	TM
A0A0H3JCU7	1	TM	TM
A0A0H3JD05	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JD41	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JD51	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JD67	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JD82	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JDB0	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JDE0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JDG1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JDM8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JDP4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JDS3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JDU0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JDV7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JDZ5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JE03	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JE10	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JE25	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JE54	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JE81	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JEB9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JED1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JED9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEE6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JEF8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEJ4	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JEM3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEU3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEX7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEY0	1	TM	TM
A0A0H3JEY1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JEZ2	1	TM	TM
A0A0H3JEZ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JF05	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JF06	1	TM	TM
A0A0H3JF11	1	TM	TM
A0A0H3JF28	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JF59	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JF92	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JFF7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JFJ0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JFM2	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JFM5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFP1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFP8	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JFR4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFR8	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JFT3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFV0	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JG20	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JG22	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JG23	1	SL	SL
A0A0H3JG29	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JG58	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JGB9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGF6	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JGG0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGH5	1	TM	TM
A0A0H3JGI1	1	TM	TM
A0A0H3JGL0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JGR3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGW6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JGX7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGY9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGZ4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH03	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH08	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH42	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JH60	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JH62	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH95	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHB1	1	SL	SL
A0A0H3JHC2	1	GPI	GPI
A0A0H3JHD1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JHD6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHE2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHE3	1	TM	TM
A0A0H3JHG8	1	GPI	GPI
A0A0H3JHH3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JHI5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JHJ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHN9	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JHX2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JI67	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JI82	1	TM	TM
A0A0H3JI86	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIC2	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
A0A0H3JIE8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIG0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JIG8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIH9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIJ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIP2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIP3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JIT3	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JIY1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JJ41	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JJ64	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JJ80	1	TM	TM
A0A0H3JJD2	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
A0A0H3JJE5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JJN9	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
A0A0H3JJS0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JJS9	1	TM	TM
A0A0H3JK63	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
